Name;Matches;Innings;Not_out;Runs;Highest_score;Average;Balls_faced;Strike_rate;Hundreds;Fifties;Fours;Sixes;Catches;Stumps
Virat Kohli;107;99;27;3660;122*;50.83;2651;138.06;1;33;324;108;47;0
Washington Sundar;31;11;4;47;14*;6.71;32;146.88;0;0;4;3;10;0
Deepak Chahar;21;5;5;22;21*;-;9;244.44;0;0;2;1;2;0
Shreyas Iyer;46;42;11;1029;74*;33.19;753;136.65;0;7;84;41;13;0
Axar Patel;29;18;9;153;20*;17;112;136.61;0;0;12;6;9;0
Hanuma Vihari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Yuzvendra Chahal;69;4;2;5;3*;2.5;11;45.45;0;0;0;0;13;0
Mohammed Siraj;5;0;0;0;-;-;0;-;0;0;0;0;1;0
Shubman Gill;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Navdeep Saini;11;3;3;12;11*;-;11;109.09;0;0;2;0;3;0
Bhuvneshwar Kumar;79;19;11;62;16;7.75;87;71.26;0;0;0;0;11;0
Kuldeep Yadav;25;4;3;43;23*;43;48;89.58;0;0;2;0;8;0
Mayank Agarwal;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wriddhiman Saha;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hardik Pandya;73;54;15;989;71*;25.36;666;148.5;0;2;71;54;38;0
Shardul Thakur;25;6;3;69;22*;23;38;181.58;0;0;5;4;7;0
Umesh Yadav;8;1;0;2;2;2;4;50;0;0;0;0;3;0
Ishant Sharma;14;3;2;8;5*;8;9;88.89;0;0;1;0;4;0
Kl Rahul;64;60;7;2029;110*;38.28;1438;141.1;2;18;176;83;22;1
Rishabh Pant;59;51;12;934;65*;23.95;740;126.22;0;3;79;35;23;8
Mohammad Shami;17;2;2;0;0*;-;0;-;0;0;0;0;1;0
Shikhar Dhawan;68;66;3;1759;92;27.92;1392;126.36;0;11;191;50;19;0
Ajinkya Rahane;20;20;2;375;61;20.83;331;113.29;0;1;32;6;16;0
Cheteshwar Pujara;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ravindra Jadeja;64;34;15;457;46*;24.05;367;124.52;0;0;34;12;24;0
Ravichandran Ashwin;56;14;9;161;31*;32.2;138;116.67;0;0;16;3;10;0
Jasprit Bumrah;60;7;5;8;7;4;13;61.54;0;0;1;0;7;0
Rohit Sharma;139;131;17;3694;118;32.4;2617;141.15;4;28;330;177;56;0
