Name;Matches;Innings;Balls;Runs;Wickets;Best_bowling_per_match;Average;Economy;Strike_rate;four_wicket_haul;five_wicket_haul
Virat Kohli;107;13;152;204;4;0/6;51;8.05;38;0;0
Washington Sundar;31;30;621;750;25;3/22;30;7.25;24.84;0;0
Deepak Chahar;21;21;444;607;26;6/7;23.35;8.2;17.08;0;1
Shreyas Iyer;46;1;2;2;0;0/2;-;6;-;0;0
Axar Patel;29;28;551;658;29;3/15;22.69;7.17;19;0;0
Hanuma Vihari;-;-;-;-;-;-;-;-;-;-;-
Yuzvendra Chahal;69;68;1548;2095;85;6/25;24.65;8.12;18.21;2;1
Mohammed Siraj;5;5;120;209;5;1/22;41.8;10.45;24;0;0
Shubman Gill;-;-;-;-;-;-;-;-;-;-;-
Navdeep Saini;11;9;197;235;13;3/17;18.08;7.16;15.15;0;0
Bhuvneshwar Kumar;79;78;1637;1917;85;5/24;22.55;7.03;19.26;3;2
Kuldeep Yadav;25;24;537;617;44;5/24;14.02;6.89;12.2;1;1
Mayank Agarwal;-;-;-;-;-;-;-;-;-;-;-
Wriddhiman Saha;-;-;-;-;-;-;-;-;-;-;-
Hardik Pandya;73;64;1115;1549;54;4/33;28.69;8.34;20.65;2;0
Shardul Thakur;25;24;506;772;33;4/27;23.39;9.15;15.33;1;0
Umesh Yadav;8;8;162;246;11;2/19;22.36;9.11;14.73;0;0
Ishant Sharma;14;14;278;400;8;2/34;50;8.63;34.75;0;0
Kl Rahul;64;0;0;0;0;-;-;-;-;0;0
Rishabh Pant;59;0;0;0;0;-;-;-;-;0;0
Mohammad Shami;17;17;357;568;18;3/15;31.56;9.55;19.83;0;0
Shikhar Dhawan;68;0;0;0;0;-;-;-;-;0;0
Ajinkya Rahane;20;0;0;0;0;-;-;-;-;0;0
Cheteshwar Pujara;-;-;-;-;-;-;-;-;-;-;-
Ravindra Jadeja;64;62;1237;1453;51;3/15;28.49;7.05;24.25;0;0
Ravichandran Ashwin;56;56;1266;1437;66;4/8;21.77;6.81;19.18;2;0
Jasprit Bumrah;60;59;1283;1416;70;3/11;20.23;6.62;18.33;0;0
Rohit Sharma;139;9;68;113;1;  1/22;113;9.97;68;0;0
