Name;Jersey;URL;Role;Batting_style;Bowling_style;Facebook_url;Twitter_url;Instagram_url;Date_of_birth;Description
Virat Kohli;18;https://www.bcci.tv/players/164/virat-kohli;Batsman;Right-hand Bat;Right-arm Medium;https://www.facebook.com/virat.kohli;https://twitter.com/imVkohli;https://www.instagram.com/virat.kohli;Nov 05, 1988;Virat Kohli had a dream. A dream like every other young kid in India to represent the country in the gentleman’s game. It is this vigor and fervor for the game of cricket that has helped this extremely talented young boy from Delhi to scale great heights at a very young age. He was barely in his teens when he led the India Under-19 team to a World Cup victory in Kuala Lumpur in 2008 which was a pointer of bigger and better things to come in the future. After that famous victory, it was not long before he made his entry into the senior team and Kohli was soon brushing shoulders with the best in the business and his cricketing idol Sachin Tendulkar. The stylish right-handed batsman banked on the opportunities at disposal and displayed a tremendous sense of maturity as if to show he belonged. He was termed brash and aggressive for being expressive on and off the field, but Kohli imbibed all of those qualities in his gameplay only to become better with each passing game. He began chasing totals for India with ridiculous ease and India had found a stable batsman in the middle order for the long run. Such is his batting prowess and cricketing mind that Ray Jennings(his coach with Royal Challengers Bangalore) touted him to be the leader of future India. Kohli made his mark in the shorter formats of the game but got a chance to don the whites in 2011. He registered his maiden Test century against Australia in Adelaide in January 2012 and followed it up with impressive centuries in India and abroad - namely South Africa and New Zealand.
Washington Sundar;5;https://www.bcci.tv/players/2973/washington-sundar;All-rounder;Left-hand Bat;Right-arm-offspin;https://www.facebook.com/washisundar555;https://twitter.com/Sundarwashi5;https://www.instagram.com/washisundar555;Oct 05, 1999;Coming through the ranks - from age-group cricket to Under-19 and from Tamil Nadu to IPL Washington Sundar, a left-handed batsman and a right-arm off-spinner made his debut in international cricket in December 2017 when India faced Sri Lanka in an ODI. Since then, Washington Sundar has been a part of India's T201 side.
Deepak Chahar;90;https://www.bcci.tv/players/140/deepak-chahar;Bowler;Right-hand Bat;Right-arm Medium Pace;https://www.facebook.com/;https://twitter.com/deepak_chahar9;https://www.instagram.com/deepak_chahar9;Aug 07, 1992;The right-arm swing bowler made his India debut in July 2018 following his impressive showings for Rajasthan and in the Indian Premier League (IPL). Chahar, who began his journey in international cricket with a T201 international, became the first Indian bowler (in men's cricket) to take a T20I hat-trick in November 2019. Chahar returned with the figures of 6/7 in that match against Bangladesh and this performance helped him win ICC's 2019 T201 Performance of the Year award.
Shreyas Iyer;41;https://www.bcci.tv/players/1563/shreyas-iyer;Batsman;Right-hand Bat;Right-arm Leg-spin;https://www.facebook.com/ShreyasIyerCricket;https://twitter.com/shreyasiyer15;https://www.instagram.com/shreyas41;Dec 06, 1994;Known to possess the ability to mix power game with classical approach, Shreyas lyer rose through the ranks to make it to the Indian side. Iyer, who bats right-handed, made his debut in international cricket in November 2017 when India took on New Zealand in a T20l in New Delhi. lyer, who is currently leading Delhi Capitals in the Indian Premier League, is also known for his sharp fielding.
Axar Patel;20;https://www.bcci.tv/players/1113/axar-patel;Bowling All-rounder;Left-hand Bat;Left-arm Orthodox Spin;https://www.facebook.com/CircleofCricket.AksharPatel;https://twitter.com/akshar2026;https://www.instagram.com/akshar.patel;Jan 20, 1994;Axar Patel is an all-rounder from Gujarat, who made his first-class and List A debuts in the 2012-13 season.A native of Anand, he earned his maiden IPL contract with the Mumbai Indians ahead of IPL 2013. He scored 369 runs in seven matches and picked up 29 wickets for Gujarat during the 2013-14 Ranji Trophy season. Owing to his good show in the domestic circuit and a zeal to excel in the international stage, Patel was later drafted in by Kings XI Punjab ahead of the 2014 edition of IPL. After displaying his prowess with the bat and the ball for Kings XI Punjab, Patel earned his maiden ODI call up the same year in a 3-match ODI series against Bangladesh.
Hanuma Vihari;44;https://www.bcci.tv/players/1117/hanuma-vihari;Batting All-rounder;Right-hand Bat;Right-arm-offbreak;https://www.facebook.com/hanumavihari1;https://twitter.com/hanumavihari;https://www.instagram.com/viharigh;Oct 13, 1993;Hanuma Vihari earned his India call-up on the back of some stellar performances for India ‘A’ and in the domestic cricket. The right-handed batsman, who can also double up as an occasional off-spinner, made his India debut during the England series in September in 2018 after averaging nearly 60 in First Class cricket. In his seven-match old Test career so far, he has scored three fifties, a hundred and have picked up five wickets.
Yuzvendra Chahal;3;https://www.bcci.tv/players/111/yuzvendra-chahal;Bowler;Right-hand Bat;Right-arm Leg-spin;https://www.facebook.com/tossco9.yuzi23;https://twitter.com/yuzi_chahal;https://www.instagram.com/yuzi_chahal23;Jul 23, 1990;It is not easy for a spinner to find success in the shorter formats of the game where batsmen have the license to smash the ball around. The leg spinner is not afraid to flight the ball and has troubled many of the world's best with his guile. After his successful stints with the RCB, Chahal was picked for India's tour to Zimbabwe in 2016 and made his ODI and T201 debuts. A year later, he bamboozled the English line-up in Bengaluru. He became the first bowler from India to pick six wickets in a T201 and just the second after Ajantha Mendis (twice), to achieve the feat. With eight wickets in the series, he picked up both Man of the Match and Man of the Series awards.
Mohammed Siraj;13;https://www.bcci.tv/players/3840/mohammed-siraj;Bowler;Right-hand Bat;Right-arm Medium Fast;https://www.facebook.com/MohammedSirajofficials;https://twitter.com/mdsirajofficial;https://www.instagram.com/mohammedsirajofficial;Mar 13, 1994;Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand.Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up. Potential translated to performance when he was his state's highest wicket-taker playing only his second season of Ranji Trophy - 41 wickets in nine matches. He was subsequently picked to play for the Rest of India and was brought on board by the India A team as well for a tour of South Africa in July-August 2017. The step up to the big league arrived soon after.
Shubman Gill;77;https://www.bcci.tv/players/3761/shubman-gill;Batsman;Right-hand Bat;Right-arm-offspin;https://www.facebook.com/shubmangillofficialpage;https://twitter.com/ShubmanGill;https://www.instagram.com/shubmangill;Sep 08, 1999;Shubman Gill made his entry into the Indian team on the back of his exploits in the Under 19 cricket, including a triumphant run in the ICC Under 19 World Cup in 2018, and in the domestic cricket for Punjab. The stylish right-hander made his India debut in January 2019 in Hamilton.
Navdeep Saini;96;https://www.bcci.tv/players/3824/navdeep-saini;Bowler;Right-hand Bat;Right-arm Medium Pace;https://www.facebook.com/Navdeep-Saini/100005000583658;https://twitter.com/navdeepsaini96;https://www.instagram.com/navdeep_saini10_official;Nov 23, 1992;Tall, fast and sharp. Navdeep Saini has been a welcome addition to India’s pace-bowling arsenal. The right-arm pacer made it to the Indian side on the back of solid showings for Delhi. Saini made a memorable debut, winning a Man of the Mach award following his three-wicket haul against West Indies in August 2019.
